pred_date,target_date,split,n_positions,mean_conf_direction,gross_return_pct,transaction_cost_pct,net_return_pct,daily_net_profit,cumulative_net_profit,equity
2025-07-25,2025-07-28,test,3,0.835534,-0.012333,0.15,-0.162333,-1897.38,166917.58,1166917.58
2025-07-28,2025-07-29,test,3,0.840941,0.240767,0.15,0.090767,1059.17,167976.75,1167976.75
2025-07-29,2025-07-30,test,7,0.827108,0.438443,0.15,0.288443,3368.95,171345.69,1171345.69
2025-07-30,2025-07-31,test,3,0.833388,-1.4023,0.15,-1.5523,-18182.8,153162.9,1153162.9
2025-07-31,2025-08-01,test,5,0.822206,0.19362,0.15,0.04362,503.01,153665.91,1153665.91
2025-08-01,2025-08-04,test,4,0.844151,1.03835,0.15,0.88835,10248.59,163914.5,1163914.5
2025-08-04,2025-08-05,test,15,0.826142,0.683147,0.15,0.533147,6205.37,170119.87,1170119.87
2025-08-05,2025-08-06,test,3,0.853259,-0.0568,0.15,-0.2068,-2419.81,167700.06,1167700.06
2025-08-06,2025-08-07,test,4,0.846408,-0.84825,0.15,-0.99825,-11656.57,156043.49,1156043.49
2025-08-07,2025-08-08,test,9,0.8332,0.7506,0.15,0.6006,6943.2,162986.69,1162986.69
2025-08-08,2025-08-11,test,2,0.866023,0.6191,0.15,0.4691,5455.57,168442.26,1168442.26
2025-08-11,2025-08-12,test,10,0.834243,0.44878,0.15,0.29878,3491.07,171933.33,1171933.33
2025-08-12,2025-08-13,test,2,0.816313,0.47955,0.15,0.32955,3862.11,175795.44,1175795.44
2025-08-13,2025-08-14,test,5,0.839127,1.61142,0.15,1.46142,17183.31,192978.75,1192978.75
2025-08-14,2025-08-18,test,1,0.856212,1.626,0.15,1.476,17608.37,210587.12,1210587.12
2025-08-18,2025-08-19,test,25,0.821072,0.313424,0.15,0.163424,1978.39,212565.51,1212565.51
2025-08-19,2025-08-20,test,7,0.835716,0.191857,0.15,0.041857,507.55,213073.05,1213073.05
2025-08-20,2025-08-21,test,12,0.818177,0.635525,0.15,0.485525,5889.77,218962.82,1218962.82
2025-08-21,2025-08-22,test,4,0.823663,0.713,0.15,0.563,6862.76,225825.58,1225825.58
2025-08-22,2025-08-25,test,0,0.0,0.0,0.0,0.0,0.0,225825.58,1225825.58
2025-08-25,2025-08-26,test,4,0.814259,-0.87185,0.15,-1.02185,-12526.1,213299.49,1213299.49
2025-08-26,2025-08-28,test,2,0.871785,0.79875,0.15,0.64875,7871.28,221170.77,1221170.77
2025-08-28,2025-08-29,test,0,0.0,0.0,0.0,0.0,0.0,221170.77,1221170.77
2025-08-29,2025-09-01,test,1,0.806299,1.0786,0.15,0.9286,11339.79,232510.56,1232510.56
2025-09-01,2025-09-02,test,9,0.822368,0.449533,0.15,0.299533,3691.78,236202.34,1236202.34
2025-09-02,2025-09-03,test,2,0.842422,0.0768,0.15,-0.0732,-904.9,235297.44,1235297.44
2025-09-03,2025-09-04,test,2,0.850804,1.20455,0.15,1.05455,13026.83,248324.27,1248324.27
2025-09-04,2025-09-05,test,4,0.822052,0.44365,0.15,0.29365,3665.7,251989.97,1251989.97
2025-09-05,2025-09-08,test,1,0.835591,3.0429,0.15,2.8929,36218.82,288208.79,1288208.79
2025-09-08,2025-09-09,test,2,0.845884,0.2141,0.15,0.0641,825.74,289034.53,1289034.53
2025-09-09,2025-09-10,test,4,0.812269,0.600425,0.15,0.450425,5806.13,294840.66,1294840.66
2025-09-10,2025-09-11,test,14,0.820106,0.965093,0.15,0.815093,10554.15,305394.82,1305394.82
2025-09-11,2025-09-12,test,2,0.854185,0.4619,0.15,0.3119,4071.53,309466.34,1309466.34
2025-09-12,2025-09-15,test,2,0.87274,1.3865,0.15,1.2365,16191.55,325657.9,1325657.9
2025-09-15,2025-09-16,test,3,0.829658,0.6278,0.15,0.4778,6333.99,331991.89,1331991.89
2025-09-16,2025-09-17,test,3,0.828309,0.3929,0.15,0.2429,3235.41,335227.3,1335227.3
2025-09-17,2025-09-18,test,4,0.820427,0.1231,0.15,-0.0269,-359.18,334868.12,1334868.12
2025-09-18,2025-09-19,test,3,0.838994,0.376133,0.15,0.226133,3018.58,337886.7,1337886.7
2025-09-19,2025-09-22,test,4,0.851546,0.654025,0.15,0.504025,6743.28,344629.99,1344629.99
2025-09-22,2025-09-23,test,9,0.822647,0.308089,0.15,0.158089,2125.71,346755.7,1346755.7
2025-09-23,2025-09-24,test,2,0.840946,0.23815,0.15,0.08815,1187.17,347942.86,1347942.86
2025-09-24,2025-09-25,test,5,0.820918,0.23488,0.15,0.08488,1144.13,349087.0,1349087.0
2025-09-25,2025-09-26,test,2,0.857486,1.19185,0.15,1.04185,14055.46,363142.46,1363142.46
2025-09-26,2025-09-29,test,1,0.875443,0.4988,0.15,0.3488,4754.64,367897.1,1367897.1
2025-09-29,2025-09-30,test,3,0.864717,0.567933,0.15,0.417933,5716.9,373614.0,1373614.0
2025-09-30,2025-10-01,test,1,0.84406,0.492,0.15,0.342,4697.76,378311.76,1378311.76
2025-10-01,2025-10-03,test,2,0.839571,0.3005,0.15,0.1505,2074.36,380386.12,1380386.12
2025-10-03,2025-10-06,test,2,0.863032,0.73695,0.15,0.58695,8102.18,388488.29,1388488.29
2025-10-06,2025-10-07,test,6,0.834502,0.239467,0.15,0.089467,1242.23,389730.53,1389730.53
2025-10-07,2025-10-08,test,3,0.856799,0.773,0.15,0.623,8658.02,398388.55,1398388.55
2025-10-08,2025-10-09,test,2,0.820203,0.2103,0.15,0.0603,843.23,399231.78,1399231.78
2025-10-09,2025-10-10,test,7,0.826358,0.135814,0.15,-0.014186,-198.49,399033.29,1399033.29
2025-10-10,2025-10-13,test,1,0.814704,0.0342,0.15,-0.1158,-1620.08,397413.21,1397413.21
2025-10-13,2025-10-14,test,3,0.829166,1.094967,0.15,0.944967,13205.09,410618.29,1410618.29
2025-10-14,2025-10-15,test,2,0.835761,0.36875,0.15,0.21875,3085.73,413704.02,1413704.02
2025-10-15,2025-10-16,test,3,0.852945,0.386433,0.15,0.236433,3342.47,417046.49,1417046.49
